step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
79,7.411230,-1.000000,0.000100,0.597407,7554.936570,8674.593015
80,7.415789,-1.000000,0.000100,0.681764,7561.771023,8666.752775
81,7.372604,-1.000000,0.000100,0.676839,7602.536214,8620.281200
82,7.360193,-1.000000,0.000100,0.508108,7662.426205,8552.904556
83,7.291585,-1.000000,0.000100,0.594277,7661.596838,8553.830407
84,7.362007,-1.000000,0.000100,0.635372,7622.171357,8598.074870
85,7.234582,-1.000000,0.000100,0.593602,7615.851852,8605.209407
86,7.412924,-1.000000,0.000100,0.549481,7595.650956,8628.095259
87,7.153590,-1.000000,0.000100,0.751761,7632.212936,8586.762522
88,7.193246,-1.000000,0.000100,0.564335,7770.571895,8433.870877
89,7.399473,-1.000000,0.000100,0.813414,7641.239754,8576.618731
90,7.089487,-1.000000,0.000100,0.597050,7855.854131,8342.313758
91,7.279593,-1.000000,0.000100,0.680060,7755.338189,8450.437415
92,7.263386,-1.000000,0.000100,0.607742,7782.714817,8420.711993
93,7.179373,-1.000000,0.000100,0.592177,7652.375364,8564.138177
94,7.090319,-1.000000,0.000100,0.530843,7841.683651,8357.388912
95,7.247125,-1.000000,0.000100,0.499191,7950.938611,8242.548862
96,7.194456,-1.000000,0.000099,0.527874,7845.266769,8353.571896
97,7.111129,-1.000000,0.000099,0.587080,7760.664925,8444.637236
98,7.118467,-1.000000,0.000099,0.675181,7711.086860,8498.931628
99,7.208995,-1.000000,0.000099,0.588136,7838.546618,8360.733589
100,7.281363,-1.000000,0.000099,0.491120,7714.685286,8494.967399
101,7.276984,-1.000000,0.000099,0.708231,7698.368796,8512.972259
102,7.345766,-1.000000,0.000099,0.516706,7830.790310,8369.014800
103,7.328156,-1.000000,0.000099,0.597723,7741.083405,8465.998436
104,7.115481,-1.000000,0.000099,0.710291,7636.006633,8582.496474
105,7.160872,-1.000000,0.000099,0.683060,7826.060696,8374.072544
